"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"Birch Cr RAS","13-BRCH-2.7","N","13-BRCH-2.7-07302019-W","R1907170","Arsenic",2019-07-30 10:45:00,"7440-38-2","T",0.52,"ug/l",0.32,"ug/l",1,"J","J","estimated value due to lab error",2020-05-11
"Birch Cr RAS","13-BRCH-2.7","N","13-BRCH-2.7-07302019-W","R1907170","Cadmium",2019-07-30 10:45:00,"7440-43-9","T",NA,"ug/l",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Birch Cr RAS","13-BRCH-2.7","N","13-BRCH-2.7-07302019-W","R1907170","Calcium",2019-07-30 10:45:00,"7440-70-2","T",10500,"ug/l",110,"ug/l",1000,"","A","",2020-05-11
"Birch Cr RAS","13-BRCH-2.7","N","13-BRCH-2.7-07302019-W","R1907170","CHLORIDE (AS CL)",2019-07-30 10:45:00,"16887-00-6","T",28.5,"mg/l",0.5,"mg/l",2,"","A","",2020-05-11
"Birch Cr RAS","13-BRCH-2.7","N","13-BRCH-2.7-07302019-W","R1907170","Chlorophyll A",2019-07-30 10:45:00,"479-61-8","T",0.378,"ug/l",NA,"ug/l",0.039,"","J","estimated value due to Equipment Blank error",2020-05-11
"Birch Cr RAS","13-BRCH-2.7","N","13-BRCH-2.7-07302019-W","R1907170","Copper",2019-07-30 10:45:00,"7440-50-8","T",0.68,"ug/l",0.66,"ug/l",1,"J","J","estimated value due to lab error",2020-05-11
"Birch Cr RAS","13-BRCH-2.7","N","13-BRCH-2.7-07302019-W","R1907170","HARDNESS (AS CACO3)",2019-07-30 10:45:00,"HARD","T",34.8,"mg/l",NA,"mg/l",6.62,"","A","",2020-05-11
"Birch Cr RAS","13-BRCH-2.7","N","13-BRCH-2.7-07302019-W","R1907170","Iron",2019-07-30 10:45:00,"7439-89-6","T",16.6,"ug/l",13,"ug/l",100,"J","J","estimated value due to lab error",2020-05-11
"Birch Cr RAS","13-BRCH-2.7","N","13-BRCH-2.7-07302019-W","R1907170","Lead",2019-07-30 10:45:00,"7439-92-1","T",NA,"ug/l",0.57,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Birch Cr RAS","13-BRCH-2.7","N","13-BRCH-2.7-07302019-W","R1907170","Magnesium",2019-07-30 10:45:00,"7439-95-4","T",2070,"ug/l",68,"ug/l",1000,"","A","",2020-05-11
