cas_rn.x,chemical_name,fraction,result_unit.x,CHEM_PARAMETER_CDE,result_unit.y,cas_rn.y,CHEM_PARAMETER_GROUP_ME,CHEM_PARAMETER_NAME_DESC,CHEM_PARAMETER_EPA_SRS_NUM,CHEM_PARAMETER_ID,CREATE_DATE,END_DATE,UPDATE_DATE,UPDATED_BY_GUID,check,notes.check,alt.pcode,altpcode
PDORTHO,"ORTHOPHOSPHATE AS PHOSPHORUS, DISSOLVED",D,mg/l,U00660,mg/l,PDORTHO,Nutrient,"Orthophosphate, water, filtered, milligrams per liter as PO4",Phosphate,"NA","NA","NA","NA","NA",yes,repeat,NA,"NA"
COND,CONDUCTIVITY AT 25 DEGREES CELSIUS,T,umhos/cm,U00095,deg c,NA,Physical,"Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius",Specific conductance,"NA","NA","NA","NA","NA","NA","NA","NA",NA
COND,CONDUCTIVITY AT 25 DEGREES CELSIUS,T,umhos/cm,U00095,umhos/cm,NA,Physical,"Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius",Specific conductance,"NA","NA","NA","NA","NA","NA","NA","NA",NA
7440-38-2,ARSENIC,D,ug/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7440-22-4,SILVER,D,ug/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COND,CONDUCTIVITY AT 25 DEGREES CELSIUS,T,deg c,U00095,deg c,NA,Physical,"Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius",Specific conductance,"NA","NA","NA","NA","NA","NA","NA","NA",NA
COND,CONDUCTIVITY AT 25 DEGREES CELSIUS,T,deg c,U00095,umhos/cm,NA,Physical,"Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius",Specific conductance,"NA","NA","NA","NA","NA","NA","NA","NA",NA
DOC,"CARBON, DISSOLVED ORGANIC (DOC)",T,mg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PDORTHO,"ORTHOPHOSPHATE AS PHOSPHORUS, DISSOLVED",T,mg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KN,NITROGEN,T,mg/l,U00597,mg/l,7727-37-9,Nutrient,"Dinitrogen, water, unfiltered, milligrams per liter",Nitrogen,"NA","NA","NA","NA","NA",yes,matches casrn,NA,"NA"
KN,NITROGEN,T,mg/l,U00629,mg/l,KN,Nutrient,"NA","NA","NA","NA","NA","NA","NA",yes,repeat?,NA,"NA"
75-25-2,BROMOFORM,T,ug/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
460-00-4,P-BROMOFLUOROBENZENE,T,percent,U90654,percent,460-00-4,Information,"1-Bromo-4-fluorobenzene, surrogate, water, filtered, percent recovery",NA,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
1868-53-7,DIBROMOFLUOROMETHANE,T,percent,U52001,percent,1868-53-7,Information,"Dibromofluoromethane, surrogate, water, unfiltered, percent recovery",NA,"NA","NA","NA","NA","NA",yes,NA,NA,"NA"
2037-26-5,TOLUENE-D8,T,percent,U99833,percent,2037-26-5,Information,"Toluene-d8, surrogate, water, unfiltered, percent recovery",NA,"NA","NA","NA","NA","NA",yes,alternative:91818,NA,"NA"
600-05-5,"2,3-DIBROMOPROPIONIC ACID",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
631-64-1,DIBROMOACETIC ACID,T,ug/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79-43-6,DICHLOROACETIC ACID,T,ug/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79-08-3,MONOBROMOACETIC ACID,T,ug/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79-11-8,MONOCHLOROACETIC ACID,T,ug/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76-03-9,TRICHLOROACETIC ACID,T,ug/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
460-00-4,1-BROMO-4-FLUOROBENZENE BROMOFLUOROBENZENE),T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7439-97-6,MERCURY,T,ng/L,U50284,ng/l,7439-97-6,"Organics, other","Methylmercury, water, unfiltered, recoverable, nanograms per liter",Methylmercury(1+),"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
234432-85-0,"CHLOROBIPHENYL-C13, 2- (IUPAC 1L)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234432-89-4,"PENTACHLOROBIPHENYL-C13, 2,2',4,6,6'- (IUPAC 104L)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208263-62-1,"PENTACHLOROBIPHENYL-C13, 2,3,3',4,4'- (IUPAC 105L)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235416-29-2,"PENTACHLOROBIPHENYL-C13, 2,3,3',5,5'- (IUPAC 111L)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208263-63-2,"PENTACHLOROBIPHENYL-C13, 2,3,4,4',5- (IUPAC 114L)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104130-40-7,"PENTACHLOROBIPHENYL-C13, 2,3',4,4',5- (IUPAC 118L)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208263-64-3,"PENTACHLOROBIPHENYL-C13, 2',3,4,4',5- (IUPAC 123L)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208263-65-4,"PENTACHLOROBIPHENYL-C13, 3,3',4,4',5- (IUPAC 126L)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208263-67-6,"DICHLOROBIPHENYL-C13, 4,4'- (IUPAC 15L)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234432-90-7,"HEXACHLOROBIPHENYL-C13, 2,2',4,4',6,6'- (IUPAC 155L)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13C12 PCB 156/157,13C12 PCB 156/157,T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208263-69-8,"HEXACHLOROBIPHENYL-C13, 2,3',4,4',5,5'- (IUPAC 167L)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208263-70-1,"HEXACHLOROBIPHENYL-C13, 3,3',4,4',5,5'- (IUPAC 169L)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232919-67-4,"HEPTACHLOROBIPHENYL-C13, 2,2',3,3',5,5',6- (IUPAC 178L)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234432-91-8,"HEPTACHLOROBIPHENYL-C13, 2,2',3,4',5,6,6'- (IUPAC 188L)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208263-73-4,"HEPTACHLOROBIPHENYL-C13, 2,3,3',4,4',5,5'- (IUPAC 189L)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234432-87-2,"TRICHLOROBIPHENYL-C13, 2,2',6- (IUPAC 19L)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105600-26-8,"OCTACHLOROBIPHENYL-C13, 2,2',3,3',5,5',6,6'- (IUPAC 202L)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234446-64-1,"OCTACHLOROBIPHENYL-C13, 2,3,3',4,4',5,5',6- (IUPAC 205L)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208263-75-6,"NONACHLOROBIPHENYL-C13, 2,2',3,3',4,4',5,5',6- (IUPAC 206L)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234432-92-9,"NONACHLOROBIPHENYL-C13, 2,2',3,3',4,5,5',6,6'- (IUPAC 208L)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105600-27-9,DECACHLOROBIPHENYL-C13 (PCB  209L),T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208263-76-7,"TRICHLOROBIPHENYL-C13, 2,4,4'- (IUPAC 28L)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208263-77-8,"CHLOROBIPHENYL-C13, 4- (IUPAC 3L)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208263-79-0,"TRICHLOROBIPHENYL-C13, 3,4,4'- (IUPAC 37L)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234432-86-1,"DICHLOROBIPHENYL-C13, 2,2'- (IUPAC 4L)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234432-88-3,"TETRACHLOROBIPHENYL-C13, 2,2',6,6'- (IUPAC 54L)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105600-23-5,"TETRACHLOROBIPHENYL-C13, 3,3',4,4'- (IUPAC 77L)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208461-24-9,"TETRACHLOROBIPHENYL-C13, 3,4,4',5- (IUPAC 81L)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2051-24-3,DECACHLOROBIPHENYL (PCB 209),T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2051-60-7,"MONOCHLOROBIPHENYL, 2- (IUPAC 1)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33146-45-1,"DICHLOROBIPHENYL, 2,6- (IUPAC 10)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCBs 100 + 93 + 102 + 98,PCBS 100 + 93 + 102 + 98,T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60145-21-3,"PENTACHLOROBIPHENYL, 2,2',4,5',6- (IUPAC 103)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56558-16-8,"PENTACHLOROBIPHENYL, 2,2',4,6,6'- (IUPAC 104)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32598-14-4,"PENTACHLOROBIPHENYL, 2,3,3',4,4'- (IUPAC 105)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70424-69-0,"PENTACHLOROBIPHENYL, 2,3,3',4,5- (IUPAC 106)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70424-68-9,"PENTACHLOROBIPHENYL, 2,3,3',4',5- (IUPAC 107)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCBs 108 + 124,PCBS 108 + 124,T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCBs 109 + 119 + 86 + 97 + 125 + 87,PCBS 109 + 119 + 86 + 97 + 125 + 87,T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2050-67-1,"DICHLOROBIPHENYL, 3,3'- (IUPAC 11)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39635-32-0,"PENTACHLOROBIPHENYL, 2,3,3',5,5'- (IUPAC 111)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74472-36-9,"PENTACHLOROBIPHENYL, 2,3,3',5,6- (IUPAC 112)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCB 113/90/101,PCB 113/90/101,T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74472-37-0,"PENTACHLOROBIPHENYL, 2,3,4,4',5- (IUPAC 114)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCBs 117 + 116 + 85 + 110 + 115,PCBS 117 + 116 + 85 + 110 + 115,T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31508-00-6,"PENTACHLOROBIPHENYL, 2,3',4,4',5- (IUPAC 118)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68194-12-7,"PENTACHLOROBIPHENYL, 2,3',4,5,5'- (IUPAC 120)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56558-18-0,"PENTACHLOROBIPHENYL, 2,3',4,5',6- (IUPAC 121)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76842-07-4,"PENTACHLOROBIPHENYL, 2',3,3',4,5- (IUPAC 122)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65510-44-3,"PENTACHLOROBIPHENYL, 2',3,4,4',5- (IUPAC 123)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57465-28-8,"PENTACHLOROBIPHENYL, 3,3',4,4',5- (IUPAC 126)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39635-33-1,"PENTACHLOROBIPHENYL, 3,3',4,5,5'- (IUPAC 127)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCB 128/166,PCB 128/166,T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCBs 13 + 12,PCBS 13 + 12,T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52663-66-8,"HEXACHLOROBIPHENYL, 2,2',3,3',4,5'- (IUPAC 130)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61798-70-7,"HEXACHLOROBIPHENYL, 2,2',3,3',4,6- (IUPAC 131)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38380-05-1,"HEXACHLOROBIPHENYL, 2,2',3,3',4,6'- (IUPAC 132)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35694-04-3,"HEXACHLOROBIPHENYL, 2,2',3,3',5,5'- (IUPAC 133)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCBs 134 + 143,PCBS 134 + 143,T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38411-22-2,"HEXACHLOROBIPHENYL, 2,2',3,3',6,6'- (IUPAC 136)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCBs 137 + 164,PCBS 137 + 164,T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCB 138/163/129,PCB 138/163/129,T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCBs 139 + 140,PCBS 139 + 140,T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34883-41-5,"DICHLOROBIPHENYL, 3,5- (IUPAC 14)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52712-04-6,"HEXACHLOROBIPHENYL, 2,2',3,4,5,5'- (IUPAC 141)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41411-61-4,"HEXACHLOROBIPHENYL, 2,2',3,4,5,6- (IUPAC 142)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68194-14-9,"HEXACHLOROBIPHENYL, 2,2',3,4,5',6- (IUPAC 144)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74472-40-5,"HEXACHLOROBIPHENYL, 2,2',3,4,6,6'- (IUPAC 145)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51908-16-8,"HEXACHLOROBIPHENYL, 2,2',3,4',5,5'- (IUPAC 146)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCB 147/149,PCB 147/149,T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74472-41-6,"HEXACHLOROBIPHENYL, 2,2',3,4',5,6'- (IUPAC 148)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2050-68-2,"DICHLOROBIPHENYL, 4,4'- (IUPAC 15)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68194-08-1,"HEXACHLOROBIPHENYL, 2,2',3,4',6,6'- (IUPAC 150)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCBs 151 + 135,PCBS 151 + 135,T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68194-09-2,"HEXACHLOROBIPHENYL, 2,2',3,5,6,6'- (IUPAC 152)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60145-22-4,"HEXACHLOROBIPHENYL, 2,2',4,4',5,6'- (IUPAC 154)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33979-03-2,"HEXACHLOROBIPHENYL, 2,2',4,4',6,6'- (IUPAC 155)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCB 156/157,PCB 156/157,T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74472-42-7,"HEXACHLOROBIPHENYL, 2,3,3',4,4',6- (IUPAC 158)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39635-35-3,"HEXACHLOROBIPHENYL, 2,3,3',4,5,5'- (IUPAC 159)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38444-78-9,"TRICHLOROBIPHENYL, 2,2',3- (IUPAC 16)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41411-62-5,"HEXACHLOROBIPHENYL, 2,3,3',4,5,6- (IUPAC 160)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74472-43-8,"HEXACHLOROBIPHENYL, 2,3,3',4,5',6- (IUPAC 161)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39635-34-2,"HEXACHLOROBIPHENYL, 2,3,3',4',5,5'- (IUPAC 162)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74472-46-1,"HEXACHLOROBIPHENYL, 2,3,3',5,5',6- (IUPAC 165)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52663-72-6,"HEXACHLOROBIPHENYL, 2,3',4,4',5,5'- (IUPAC 167)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCB 168 & 153,PCB 168 & 153,T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32774-16-6,"HEXACHLOROBIPHENYL, 3,3',4,4',5,5'- (IUPAC 169)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37680-66-3,"TRICHLOROBIPHENYL, 2,2',4- (IUPAC 17)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35065-30-6,"HEPTACHLOROBIPHENYL, 2,2',3,3',4,4',5- (IUPAC 170)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCBs 171 + 173,PCBS 171 + 173,T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52663-74-8,"HEPTACHLOROBIPHENYL, 2,2',3,3',4,5,5'- (IUPAC 172)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38411-25-5,"HEPTACHLOROBIPHENYL, 2,2',3,3',4,5,6'- (IUPAC 174)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40186-70-7,"HEPTACHLOROBIPHENYL, 2,2',3,3',4,5',6- (IUPAC 175)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52663-65-7,"HEPTACHLOROBIPHENYL, 2,2',3,3',4,6,6'- (IUPAC 176)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52663-70-4,"HEPTACHLOROBIPHENYL, 2,2',3,3',4',5,6- (IUPAC 177)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52663-67-9,"HEPTACHLOROBIPHENYL, 2,2',3,3',5,5',6- (IUPAC 178)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52663-64-6,"HEPTACHLOROBIPHENYL, 2,2',3,3',5,6,6'- (IUPAC 179)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCB 180/193,PCB 180/193,T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74472-47-2,"HEPTACHLOROBIPHENYL, 2,2',3,4,4',5,6- (IUPAC 181)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60145-23-5,"HEPTACHLOROBIPHENYL, 2,2',3,4,4',5,6'- (IUPAC 182)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52663-69-1,"HEPTACHLOROBIPHENYL, 2,2',3,4,4',5',6- (IUPAC 183)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74472-48-3,"HEPTACHLOROBIPHENYL, 2,2',3,4,4',6,6'- (IUPAC 184)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52712-05-7,"HEPTACHLOROBIPHENYL, 2,2',3,4,5,5',6- (IUPAC 185)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74472-49-4,"HEPTACHLOROBIPHENYL, 2,2',3,4,5,6,6'- (IUPAC 186)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52663-68-0,"HEPTACHLOROBIPHENYL, 2,2',3,4',5,5',6- (IUPAC 187)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74487-85-7,"HEPTACHLOROBIPHENYL, 2,2',3,4',5,6,6'- (IUPAC 188)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39635-31-9,"HEPTACHLOROBIPHENYL, 2,3,3',4,4',5,5'- (IUPAC 189)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38444-73-4,"TRICHLOROBIPHENYL, 2,2',6- (IUPAC 19)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41411-64-7,"HEPTACHLOROBIPHENYL, 2,3,3',4,4',5,6- (IUPAC 190)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74472-50-7,"HEPTACHLOROBIPHENYL, 2,3,3',4,4',5',6- (IUPAC 191)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74472-51-8,"HEPTACHLOROBIPHENYL, 2,3,3',4,5,5',6- (IUPAC 192)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35694-08-7,"OCTACHLOROBIPHENYL, 2,2',3,3',4,4',5,5'- (IUPAC 194)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52663-78-2,"OCTACHLOROBIPHENYL, 2,2',3,3',4,4',5,6- (IUPAC 195)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42740-50-1,"OCTACHLOROBIPHENYL, 2,2',3,3',4,4',5,6'- (IUPAC 196)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33091-17-7,"OCTACHLOROBIPHENYL, 2,2',3,3',4,4',6,6'- (IUPAC 197)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCBs 198 + 199,PCBS 198 + 199,T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2051-61-8,"CHLOROBIPHENYL, 3- (IUPAC 2)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52663-73-7,"OCTACHLOROBIPHENYL, 2,2',3,3',4,5,6,6'- (IUPAC 200)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40186-71-8,"OCTACHLOROBIPHENYL, 2,2',3,3',4,5',6,6'- (IUPAC 201)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2136-99-4,"OCTACHLOROBIPHENYL, 2,2',3,3',5,5',6,6'- (IUPAC 202)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
