chemical_name,fraction,result_unit,CHEM_PARAMETER_CDE,parameter_group_nm,SRS_Name,Long_Name,cas_rn
TOTAL SOLIDS,NA,mg/l,U00500,Physical,Total solids,"Total solids dried at 105 degrees Celsius, water, unfiltered, milligrams per liter",TSO
TOTAL SOLIDS,T,mg/l,U00500,Physical,Total solids,"Total solids dried at 105 degrees Celsius, water, unfiltered, milligrams per liter",TSO
TOTAL SUSPENDED SOLIDS,NA,mg/l,U00530,Physical,Total suspended solids,"Suspended solids, water, unfiltered, milligrams per liter",TSS
TOTAL SUSPENDED SOLIDS,T,mg/l,U00530,Physical,Total suspended solids,"Suspended solids, water, unfiltered, milligrams per liter",TSS
TOTAL SUSPENDED SOLIDS,T,mg/L,U00530,Physical,Total suspended solids,"Suspended solids, water, unfiltered, milligrams per liter",
TOTAL VOLATILE SOLIDS,NA,mg/l,D00003,Physical,,,TVS
TOTAL VOLATILE SOLIDS,T,mg/l,D00003,Physical,,,TVS
TRICHLOROACETIC ACID,T,ug/l,D99310,"Organics, other",,,76-03-9
TRICHLOROETHYLENE (TCE),T,ug/l,U39180,"Organics, other",Trichloroethylene,"Trichloroethene, water, unfiltered, recoverable, micrograms per liter",79-01-6
TRUE COLOR,T,color units,U00081,Physical,Apparent color,"Apparent color, water, unfiltered, platinum-cobalt units",
TURBIDITY,NA,FNU,U63680,Physical,Turbidity,"Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU)",
TURBIDITY,NA,ntu,U00076,Physical,Turbidity,"Turbidity, water, unfiltered, nephelometric turbidity units",TURB
TURBIDITY,T,ntu,U00076,Physical,Turbidity,"Turbidity, water, unfiltered, nephelometric turbidity units",TURB
TURBIDITY,T,NTU,U00076,Physical,Turbidity,"Turbidity, water, unfiltered, nephelometric turbidity units",
UV 254,T,1/cm,U50624,Physical,UV 254 -- SDWA NPDWR,"Absorbance, 254 nm, water, filtered, absorbance units per centimeter",
VINYL CHLORIDE,T,ug/l,U39175,"Organics, other",Vinyl chloride,"Vinyl chloride, water, unfiltered, recoverable, micrograms per liter",75-01-4
ZINC,D,ug/l,U01090,"Inorganics, Minor, Metals",Zinc,"Zinc, water, filtered, micrograms per liter",7440-66-6
ZINC,T,ug/l,U52303,"Inorganics, Minor, Metals",,"Zinc, water, unfiltered, micrograms per liter",7440-66-6
