cas_rn,chemical_name,fraction,result_unit
75-09-2,METHYLENE CHLORIDE,T,ug/l
121-48-1,CHLORODIBROMOMETHANE,T,ug/l
75-01-4,VINYL CHLORIDE,T,ug/l
124-48-1,DIBROMOCHLOROMETHANE,T,ug/l
7439-97-6,MERCURY,T,ng/l
7440-66-6,ZINC,D,ug/l
7439-95-4,MAGNESIUM,T,ug/l
7440-09-7,POTASSIUM,T,ug/l
7440-23-5,SODIUM,T,ug/l
7440-70-2,CALCIUM,T,ug/l
DOC,DISSOLVED ORGANIC CARBON,D,mg/l
14265-44-2,PHOSPHATE ION,D,mg/l
17060-07-0,"1,2-DICHLOROETHANE-D4",T,%
2037-26-5,TOLUENE-D8,T,%
460-00-4,P-BROMOFLUOROBENZENE,T,%
DOC,DISSOLVED ORGANIC CARBON,T,mg/l
17060-07-0,"1,2-DICHLOROETHANE-D4",T,ug/l
2037-26-5,TOLUENE-D8,T,ug/l
460-00-4,P-BROMOFLUOROBENZENE,T,ug/l
DISS_OXYGEN,DISSOLVED OXYGEN,D,mg/l
PDORTHO,"PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (AS P)",D,mg/l
7440-44-0,TOTAL CARBON,T,mg/l
COND,CONDUCTIVITY,T,umhos/cm
7439-97-6,MERCURY,T,ppt
PDORTHO,"PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (AS P)",T,mg/l
ARC-NO3NO2N,"NITROGEN, NITRITE + NITRATE",T,mg/l
479-61-8,CHLOROPHYLL A,T,ug/l
7440-44-0,TOTAL CARBON,D,mg/l
TDS,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",D,mg/l
16984-48-8,"FLUORIDE, UNDISTILLED",T,mg/l
NO3NO2N,NITRATE+NITRITE AS NITROGEN,T,mg/l
PH,PH,T,pH units
7723-14-0,"PHOSPHORUS, TOTAL (AS P)",T,mg/l
TEMP,TEMPERATURE OF PH ANALYSIS,T,deg c
DOC,"CARBON, DISSOLVED ORGANIC (DOC)",D,mg/l
PDORTHO,"ORTHOPHOSPHATE AS PHOSPHORUS, DISSOLVED",D,mg/l
COND,CONDUCTIVITY AT 25 DEGREES CELSIUS,T,umhos/cm
7440-38-2,ARSENIC,D,ug/l
7440-22-4,SILVER,D,ug/l
COND,CONDUCTIVITY AT 25 DEGREES CELSIUS,T,deg c
DOC,"CARBON, DISSOLVED ORGANIC (DOC)",T,mg/l
PDORTHO,"ORTHOPHOSPHATE AS PHOSPHORUS, DISSOLVED",T,mg/l
75-25-2,BROMOFORM,T,ug/l
460-00-4,P-BROMOFLUOROBENZENE,T,percent
1868-53-7,DIBROMOFLUOROMETHANE,T,percent
2037-26-5,TOLUENE-D8,T,percent
600-05-5,"2,3-DIBROMOPROPIONIC ACID",T,percent
631-64-1,DIBROMOACETIC ACID,T,ug/l
79-43-6,DICHLOROACETIC ACID,T,ug/l
79-08-3,MONOBROMOACETIC ACID,T,ug/l
79-11-8,MONOCHLOROACETIC ACID,T,ug/l
76-03-9,TRICHLOROACETIC ACID,T,ug/l
460-00-4,1-BROMO-4-FLUOROBENZENE BROMOFLUOROBENZENE),T,percent
7439-97-6,MERCURY,T,ng/L
NA,"ACIDITY, HYDROGEN ION (H+)",NA,NA
NA,"ALKALINITY, TOTAL (AS CACO3)",T,mg/L
NA,ALUMINUM,T,ug/L
NA,AMMONIA,T,mg/L
NA,ANATOXIN-A,NA,ug/L
NA,APPARENT COLOR,T,color units
NA,ARSENIC,T,ug/L
NA,BENZENE,T,mg/L
NA,BMAA (BETA-METHYL-AMINO-(L)-ALANINE),NA,ug/L
NA,BORON,T,ug/L
NA,CALCIUM,T,mg/L
NA,CHLORIDE,T,mg/L
NA,CHLOROPHYLL A,T,ug/L
NA,CHLOROPHYLL A (PROBE RELATIVE FLUORESCENCE),NA,NA
NA,CHLOROPHYLL A (PROBE),NA,ug/L
NA,"CHLOROPHYLL A (PROBE) CONCENTRATION, CHLOROPHYTE (GREEN ALGAE)",NA,ug/L
NA,"CHLOROPHYLL A (PROBE) CONCENTRATION, CHRYSOPHYTA (BROWN ALGAE)",NA,ug/L
NA,"CHLOROPHYLL A (PROBE) CONCENTRATION, CRYPTOPHYTA (CRYPTOPHYTES)",NA,ug/L
NA,"CHLOROPHYLL A (PROBE) CONCENTRATION, CYANOBACTERIA (BLUEGREEN)",NA,ug/L
NA,"CHLOROPHYLL A (PROBE) CONCENTRATION, DINOPHYTA (DIATOMS)",NA,ug/L
NA,"COLOR, UNKNOWN",T,color units
NA,CONDUCTIVITY,T,ugS/cm
NA,COPPER,T,ug/L
NA,CYLINDROSPERMOPSIN,NA,ug/L
NA,DEPTH,NA,m
NA,"DEPTH, BOTTOM",NA,m
NA,"DEPTH, SECCHI DISK DEPTH",NA,m
NA,DIBROMODIFLUOROMETHANE,T,%
NA,DIHYDRO-ATX-A,NA,ug/L
NA,DISSOLVED ORGANIC CARBON,D,mg/L
NA,DISSOLVED OXYGEN (DO),NA,mg/L
NA,DISSOLVED OXYGEN SATURATION,NA,%
NA,DOMINANT ALGAL SPECIES,NA,NA
NA,ETHYLBENZENE,T,mg/L
NA,FLUORIDE,T,mg/L
NA,IRON,T,ug/L
NA,"M-XYLENE (1,3-DIMETHYLBENZENE)",T,mg/L
NA,MAGNESIUM,T,ug/L
NA,MANGANESE,T,ug/L
NA,MICROCYSTIN,NA,ug/L
NA,MICROCYSTIN AR,NA,ug/L
NA,MICROCYSTIN DLR,NA,ug/L
NA,MICROCYSTIN DRR,NA,ug/L
NA,MICROCYSTIN FR,NA,ug/L
NA,MICROCYSTIN HYR,NA,ug/L
NA,MICROCYSTIN LA,NA,ug/L
NA,MICROCYSTIN LR,NA,ug/L
NA,MICROCYSTIN LW,NA,ug/L
NA,MICROCYSTIN LY,NA,ug/L
NA,MICROCYSTIN MLR,NA,ug/L
NA,MICROCYSTIN MRR,NA,ug/L
NA,MICROCYSTIN RR,NA,ug/L
NA,MICROCYSTIN UNKNOWN,NA,ug/L
NA,MICROCYSTIN WR,NA,ug/L
NA,MICROCYSTIN YR,NA,ug/L
NA,NITRITE,T,mg/L
NA,"NITROGEN, KJELDAHL, TOTAL",T,mg/L
NA,"NITROGEN, NITRATE-NITRITE",T,mg/L
NA,"NITROGEN, NITRATE (AS N)",T,mg/L
NA,"NITROGEN, TOTAL",T,mg/L
NA,"NITROGEN, TOTAL DISSOLVED",D,mg/L
NA,"O-XYLENE (1,2-DIMETHYLBENZENE)",T,mg/L
NA,ORTHOPHOSPHATE,D,mg/L
NA,OXIDATION REDUCTION POTENTIAL (ORP),NA,mV
NA,"P-XYLENE (1,4-DIMETHYLBENZENE)",T,mg/L
NA,PH,NA,pH units
NA,PH FOR COLOR ANALYSIS,T,pH units
NA,PH FOR COLOR ANALYSIS,NA,pH units
NA,PHOSPHORUS,D,mg/L
NA,PHOSPHORUS,T,mg/L
NA,PHOSPHORUS,NA,mg/L
NA,PHYCOCYANIN,NA,ug/L
NA,PHYCOCYANIN (PROBE RELATIVE FLUORESCENCE),NA,NA
NA,PHYCOCYANIN (PROBE),NA,ug/L
NA,POTASSIUM,T,ug/L
NA,SILICA,T,mg/L
NA,SODIUM,T,ug/L
NA,SOLUBLE REACTIVE PHOSPHORUS (SRP),NA,mg/L
NA,SPECIFIC CONDUCTANCE,NA,uS/cm
NA,SULFATE (AS SO4),T,mg/L
NA,"TEMPERATURE, AIR",NA,deg C
NA,"TEMPERATURE, WATER",NA,deg C
NA,TOTAL DISSOLVED SOLIDS,NA,mg/L
NA,TOTAL HARDNESS,T,mg/L
NA,TOTAL ORGANIC CARBON,T,mg/L
NA,"TOTAL PHOSPHORUS, MIXED FORMS",T,mg/L
NA,"TOTAL PHOSPHORUS, MIXED FORMS",NA,mg/L
NA,TOTAL SUSPENDED SOLIDS,T,mg/L
NA,TRUE COLOR,T,color units
NA,TURBIDITY,T,NTU
NA,TURBIDITY,NA,FNU
NA,UV 254,T,1/cm
