"SITE_ID","SITE_ID_CORR_IND","DEC_sample_type","data_provider","sys_sample_code","sample_name","sample_matrix_code","sample_type_code","sample_source","parent_sample_code","sample_delivery_group","sample_date","sys_loc_code","start_depth","end_depth","depth_unit","chain_of_custody","sent_to_lab_date","sample_receipt_date","sampler","sampling_company_code","sampling_reason","sampling_technique","task_code","collection_quarter","composite_yn","composite_desc","sample_class","custom_field_1","custom_field_2","custom_field_3","comment"
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","679247-MB2","Method Blank","WQ","LB","Lab","","R2003457","05/06/2020 03:20:00","Method Blank",NA,NA,NA,NA,NA,"","042720R8W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","678818-MB2","Method Blank","WQ","LB","Lab","","R2003457","05/01/2020 18:39:00","Method Blank",NA,NA,NA,NA,NA,"","042720R8W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","679079-MB2","Method Blank","WQ","LB","Lab","","R2003457","05/04/2020 20:55:00","Method Blank",NA,NA,NA,NA,NA,"","042720R8W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","357871-MB2","Method Blank","WQ","LB","Lab","","R2003457","05/04/2020 19:10:00","Method Blank",NA,NA,NA,NA,NA,"","042720R8W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","357788-MB2","Method Blank","WQ","LB","Lab","","R2003457","05/02/2020 08:57:00","Method Blank",NA,NA,NA,NA,NA,"","042720R8W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","679246-LCS1","Lab Control Sample","WQ","BS","Lab","","R2003457","05/05/2020 17:40:00","Lab Control Sample",NA,NA,NA,NA,NA,"","042720R8W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","678476-LCS1","Lab Control Sample","WQ","BS","Lab","","R2003457","04/28/2020 19:18:00","Lab Control Sample",NA,NA,NA,NA,NA,"","042720R8W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","678791-LCS1","Lab Control Sample","WQ","BS","Lab","","R2003457","05/01/2020 21:25:00","Lab Control Sample",NA,NA,NA,NA,NA,"","042720R8W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","678817-LCS1","Lab Control Sample","WQ","BS","Lab","","R2003457","05/01/2020 18:14:00","Lab Control Sample",NA,NA,NA,NA,NA,"","042720R8W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","678544-LCS1","Lab Control Sample","WQ","BS","Lab","","R2003457","04/29/2020 11:23:00","Lab Control Sample",NA,NA,NA,NA,NA,"","042720R8W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","679078-LCS1","Lab Control Sample","WQ","BS","Lab","","R2003457","05/04/2020 20:14:00","Lab Control Sample",NA,NA,NA,NA,NA,"","042720R8W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","678475-LCS1","Lab Control Sample","WQ","BS","Lab","","R2003457","04/28/2020 20:19:00","Lab Control Sample",NA,NA,NA,NA,NA,"","042720R8W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","357869-LCS1","Lab Control Sample","WQ","BS","Lab","","R2003457","05/04/2020 19:10:00","Lab Control Sample",NA,NA,NA,NA,NA,"","042720R8W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","357787-LCS1","Lab Control Sample","WQ","BS","Lab","","R2003457","05/02/2020 08:57:00","Lab Control Sample",NA,NA,NA,NA,NA,"","042720R8W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","678620-LCS1","Lab Control Sample","WQ","BS","Lab","","R2003457","04/30/2020 09:30:00","Lab Control Sample",NA,NA,NA,NA,NA,"","042720R8W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","679247-LCS2","Lab Control Sample","WQ","BS","Lab","","R2003457","05/06/2020 06:07:00","Lab Control Sample",NA,NA,NA,NA,NA,"","042720R8W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","678818-LCS2","Lab Control Sample","WQ","BS","Lab","","R2003457","05/01/2020 18:46:00","Lab Control Sample",NA,NA,NA,NA,NA,"","042720R8W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","679079-LCS2","Lab Control Sample","WQ","BS","Lab","","R2003457","05/04/2020 20:56:00","Lab Control Sample",NA,NA,NA,NA,NA,"","042720R8W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","357871-LCS2","Lab Control Sample","WQ","BS","Lab","","R2003457","05/04/2020 19:10:00","Lab Control Sample",NA,NA,NA,NA,NA,"","042720R8W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","357788-LCS2","Lab Control Sample","WQ","BS","Lab","","R2003457","05/02/2020 08:57:00","Lab Control Sample",NA,NA,NA,NA,NA,"","042720R8W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"03-NRUP-3.1","N","N","ALSRNY","03-NRUP-3.1-04282020-WDUP","03-NRUP-3.1-04282020-W","WS","LR","Lab","03-NRUP-3.1-04282020-W","R2003457","04/28/2020 10:00:00","03-NRUP-3.1",NA,NA,NA,NA,NA,"04/28/2020","042720R8W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"07-KEUK-0.3","N","N","ALSRNY","07-KEUK-0.3-04282020-WDUP","07-KEUK-0.3-04282020-W","WS","LR","Lab","07-KEUK-0.3-04282020-W","R2003457","04/28/2020 10:00:00","03-NRUP-3.1",NA,NA,NA,NA,NA,"04/28/2020","042720R8W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"03-NRUP-3.1","N","N","ALSRNY","03-NRUP-3.1-04282020-WMS","03-NRUP-3.1-04282020-W","WS","MS","Lab","03-NRUP-3.1-04282020-W","R2003457","04/28/2020 10:00:00","03-NRUP-3.1",NA,NA,NA,NA,NA,"04/28/2020","042720R8W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"07-KEUK-0.3","N","N","ALSRNY","07-KEUK-0.3-04282020-WMS","07-KEUK-0.3-04282020-W","WS","MS","Lab","07-KEUK-0.3-04282020-W","R2003457","04/28/2020 10:00:00","07-KEUK-0.3",NA,NA,NA,NA,NA,"04/28/2020","042720R8W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
