"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"BELLINGER_BROOK","12-BELN-0.6","N","12-BELN-0.6-06302020-W","R2005633","Silver",2020-06-30 10:35:00,"7440-22-4","T",NA,"ug/l",0.15,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"BELLINGER_BROOK","12-BELN-0.6","N","12-BELN-0.6-06302020-W","R2005633","TURBIDITY",2020-06-30 10:35:00,"TURB","T",8,"ntu",0.06,"ntu",1,"","A","",2021-04-13
"BELLINGER_BROOK","12-BELN-0.6","N","12-BELN-0.6-06302020-W","R2005633","Zinc",2020-06-30 10:35:00,"7440-66-6","T",3.9,"ug/l",2.5,"ug/l",5,"J","J","estimated value due to lab error",2021-04-13
"BELLINGER_BROOK","12-BELN-0.9","N","12-BELN-0.9-06302020-W","R2005633","ALKALINITY, TOTAL (AS CaCO3)",2020-06-30 13:00:00,"ALK","T",104,"mg/l",1.8,"mg/l",2,"","A","",2021-04-13
"BELLINGER_BROOK","12-BELN-0.9","N","12-BELN-0.9-06302020-W","R2005633","Aluminum",2020-06-30 13:00:00,"7429-90-5","T",309,"ug/l",2.3,"ug/l",10,"","A","",2021-04-13
"BELLINGER_BROOK","12-BELN-0.9","N","12-BELN-0.9-06302020-W","R2005633","Arsenic",2020-06-30 13:00:00,"7440-38-2","T",NA,"ug/l",0.32,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"BELLINGER_BROOK","12-BELN-0.9","N","12-BELN-0.9-06302020-W","R2005633","Cadmium",2020-06-30 13:00:00,"7440-43-9","T",NA,"ug/l",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"BELLINGER_BROOK","12-BELN-0.9","N","12-BELN-0.9-06302020-W","R2005633","Calcium",2020-06-30 13:00:00,"7440-70-2","T",43200,"ug/l",110,"ug/l",1000,"","A","",2021-04-13
"BELLINGER_BROOK","12-BELN-0.9","N","12-BELN-0.9-06302020-W","R2005633","CHLORIDE (AS CL)",2020-06-30 13:00:00,"16887-00-6","T",8,"mg/l",0.5,"mg/l",2,"","A","",2021-04-13
"BELLINGER_BROOK","12-BELN-0.9","N","12-BELN-0.9-06302020-W","R2005633","Copper",2020-06-30 13:00:00,"7440-50-8","T",0.83,"ug/l",0.66,"ug/l",1,"J","J","estimated value due to lab error",2021-04-13
