"SITE_ID","SITE_ID_CORR_IND","DEC_sample_type","data_provider","sys_sample_code","sample_name","sample_matrix_code","sample_type_code","sample_source","parent_sample_code","sample_delivery_group","sample_date","sys_loc_code","start_depth","end_depth","depth_unit","chain_of_custody","sent_to_lab_date","sample_receipt_date","sampler","sampling_company_code","sampling_reason","sampling_technique","task_code","collection_quarter","composite_yn","composite_desc","sample_class","custom_field_1","custom_field_2","custom_field_3","comment"
"00-QAQC-0.0","N","LAB_INTERNAL","ALSRNY","715786-MB2","Method Blank","WQ","LB","Lab","","R2102067","03/11/2021 12:18:00","Method Blank",NA,NA,NA,NA,NA,"","030121C02W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"00-QAQC-0.0","N","LAB_INTERNAL","ALSRNY","715789-MB3","Method Blank","WQ","LB","Lab","","R2102067","03/11/2021 12:50:00","Method Blank",NA,NA,NA,NA,NA,"","030121C02W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"00-QAQC-0.0","N","LAB_INTERNAL","ALSRNY","375684-LCS1","Lab Control Sample","WQ","BS","Lab","","R2102067","03/13/2021 16:45:00","Lab Control Sample",NA,NA,NA,NA,NA,"","030121C02W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"00-QAQC-0.0","N","LAB_INTERNAL","ALSRNY","715781-LCS1","Lab Control Sample","WQ","BS","Lab","","R2102067","03/11/2021 11:37:00","Lab Control Sample",NA,NA,NA,NA,NA,"","030121C02W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"00-QAQC-0.0","N","LAB_INTERNAL","ALSRNY","375535-LCS1","Lab Control Sample","WQ","BS","Lab","","R2102067","03/11/2021 11:44:00","Lab Control Sample",NA,NA,NA,NA,NA,"","030121C02W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"00-QAQC-0.0","N","LAB_INTERNAL","ALSRNY","375683-LCS1","Lab Control Sample","WQ","BS","Lab","","R2102067","03/13/2021 16:45:00","Lab Control Sample",NA,NA,NA,NA,NA,"","030121C02W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"00-QAQC-0.0","N","LAB_INTERNAL","ALSRNY","715561-LCS1","Lab Control Sample","WQ","BS","Lab","","R2102067","03/10/2021 08:05:00","Lab Control Sample",NA,NA,NA,NA,NA,"","030121C02W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"00-QAQC-0.0","N","LAB_INTERNAL","ALSRNY","715786-LCS2","Lab Control Sample","WQ","BS","Lab","","R2102067","03/11/2021 12:19:00","Lab Control Sample",NA,NA,NA,NA,NA,"","030121C02W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"00-QAQC-0.0","N","LAB_INTERNAL","ALSRNY","715789-LCS3","Lab Control Sample","WQ","BS","Lab","","R2102067","03/11/2021 12:59:00","Lab Control Sample",NA,NA,NA,NA,NA,"","030121C02W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"12-ORSK-0.9","N","N","ALSRNY","12-ORSK-0.9-03032021-WDUP","12-ORSK-0.9-03032021-W","WS","LR","Lab","12-ORSK-0.9-03032021-W","R2102067","03/03/2021 10:15:00","12-ORSK-0.9",NA,NA,NA,NA,NA,"03/04/2021","030121C02W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"12-STLE-0.8","Y","N","ALSRNY","12-STLE-0.2-03032021-WDUP","12-STLE-0.2-03032021-W","WS","LR","Lab","12-STLE-0.2-03032021-W","R2102067","03/03/2021 13:00:00","12-STLE-0.2",NA,NA,NA,NA,NA,"03/04/2021","030121C02W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"12-ORSK-0.9","N","N","ALSRNY","12-ORSK-0.9-03032021-W MS","12-ORSK-0.9-03032021-W","WS","MS","Lab","12-ORSK-0.9-03032021-W","R2102067","03/03/2021 10:15:00","12-ORSK-0.9",NA,NA,NA,NA,NA,"03/04/2021","030121C02W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"12-STLE-0.8","Y","N","ALSRNY","12-STLE-0.2-03032021-WMS","12-STLE-0.2-03032021-W","WS","MS","Lab","12-STLE-0.2-03032021-W","R2102067","03/03/2021 13:00:00","12-STLE-0.2",NA,NA,NA,NA,NA,"03/04/2021","030121C02W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"12-STLE-0.8","Y","N","ALSRNY","12-STLE-0.2-03032021-W MS","12-STLE-0.2-03032021-W","WS","MS","Lab","12-STLE-0.2-03032021-W","R2102067","03/03/2021 13:00:00","12-STLE-0.2",NA,NA,NA,NA,NA,"03/04/2021","030121C02W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"12-SCHO-0.5","Y","N","ALSRNY","12-SCHO-1.2-03032021-WMS","12-SCHO-1.2-03032021-W","WS","MS","Lab","12-SCHO-1.2-03032021-W","R2102067","03/03/2021 14:02:00","12-SCHO-1.2",NA,NA,NA,NA,NA,"03/04/2021","030121C02W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"12-CAJO-5.1","N","N","ALSRNY","12-CAJO-5.1-03032021-WMS","12-CAJO-5.1-03032021-W","WS","MS","Lab","12-CAJO-5.1-03032021-W","R2102067","03/03/2021 11:23:00","12-CAJO-5.1",NA,NA,NA,NA,NA,"03/04/2021","030121C02W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"12-ORSK-0.9","N","N","ALSRNY","12-ORSK-0.9-03032021-W SD","12-ORSK-0.9-03032021-W","WS","SD","Lab","12-ORSK-0.9-03032021-W","R2102067","03/03/2021 10:15:00","12-ORSK-0.9",NA,NA,NA,NA,NA,"03/04/2021","030121C02W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"12-STLE-0.8","Y","N","ALSRNY","12-STLE-0.2-03032021-WSD","12-STLE-0.2-03032021-W","WS","SD","Lab","12-STLE-0.2-03032021-W","R2102067","03/03/2021 13:00:00","12-STLE-0.2",NA,NA,NA,NA,NA,"03/04/2021","030121C02W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"12-STLE-0.8","Y","N","ALSRNY","12-STLE-0.2-03032021-W SD","12-STLE-0.2-03032021-W","WS","SD","Lab","12-STLE-0.2-03032021-W","R2102067","03/03/2021 13:00:00","12-STLE-0.2",NA,NA,NA,NA,NA,"03/04/2021","030121C02W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"12-SCHO-0.5","Y","N","ALSRNY","12-SCHO-1.2-03032021-WSD","12-SCHO-1.2-03032021-W","WS","SD","Lab","12-SCHO-1.2-03032021-W","R2102067","03/03/2021 14:02:00","12-SCHO-1.2",NA,NA,NA,NA,NA,"03/04/2021","030121C02W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"12-CAJO-5.1","N","N","ALSRNY","12-CAJO-5.1-03032021-WSD","12-CAJO-5.1-03032021-W","WS","SD","Lab","12-CAJO-5.1-03032021-W","R2102067","03/03/2021 11:23:00","12-CAJO-5.1",NA,NA,NA,NA,NA,"03/04/2021","030121C02W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"12-LASH-0.1","N","N","ALSRNY","12-LASH-0.1-03162021-W","12-LASH-0.1-03162021-W","WS","N","Field","","R2102425","03/16/2021 12:46:00","12-LASH-0.1",NA,NA,NA,NA,NA,"03/17/2021","031521CO2W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"12-CAYA-4.7","N","N","ALSRNY","12-CAYA-4.7-03162021-W","12-CAYA-4.7-03162021-W","WS","N","Field","","R2102425","03/16/2021 13:45:00","12-CAYA-4.7",NA,NA,NA,NA,NA,"03/17/2021","031521CO2W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
