"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","lab_anl_method_name","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"OTISCO","07-AMBR-0.2","Y","07-AMBER-0.2-07122021-W","R2107012","arsenic",2021-07-12 12:15:00,"7440-38-2","T",0.62,"ug/l","E200.8",0.32,"ug/l",1,"J","J","estimated value due to lab error",2022-02-17
"OTISCO","07-AMBR-0.2","Y","07-AMBER-0.2-07122021-W","R2107012","zinc",2021-07-12 12:15:00,"7440-66-6","T",3.8,"ug/l","E200.8",2.5,"ug/l",5,"J","J","estimated value due to lab error",2022-02-17
"OTISCO","07-AMBR-0.2","Y","07-AMBER-0.2-07122021-W","R2107012","lead",2021-07-12 12:15:00,"7439-92-1","T",0.99,"ug/l","E200.8",0.19,"ug/l",1,"J","J","estimated value due to lab error",2022-02-17
"OTISCO","07-AMBR-0.2","Y","07-AMBER-0.2-07122021-W","R2107012","phosphorus, total (as p)",2021-07-12 12:15:00,"7723-14-0","T",0.0745,"mg/l","E365.1",0.0036,"mg/l",0.005,"","A","",2022-02-17
"OTISCO","07-AMBR-0.2","Y","07-AMBER-0.2-07122021-W","R2107012","silver",2021-07-12 12:15:00,"7440-22-4","T",0.19,"ug/l","E200.8",0.042,"ug/l",1,"J","J","estimated value due to lab error",2022-02-17
"OTISCO","07-AMBR-0.2","Y","07-AMBER-0.2-07122021-W","R2107012","cadmium",2021-07-12 12:15:00,"7440-43-9","T",NA,"ug/l","E200.8",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2022-02-17
"OTISCO","07-AMBR-0.2","Y","07-AMBER-0.2-07122021-W","R2107012","calcium",2021-07-12 12:15:00,"7440-70-2","T",72600,"ug/l","E200.7",110,"ug/l",1000,"","A","",2022-02-17
"OTISCO","07-AMBR-0.2","Y","07-AMBER-0.2-07122021-W","R2107012","alkalinity, total (as caco3)",2021-07-12 12:15:00,"ALK","T",189,"mg/l","SM 2320 B",1.8,"mg/l",2,"","A","",2022-02-17
"OTISCO","07-AMBR-0.2","Y","07-AMBER-0.2-07122021-W","R2107012","magnesium",2021-07-12 12:15:00,"7439-95-4","T",13900,"ug/l","E200.7",68,"ug/l",1000,"","A","",2022-02-17
"OTISCO","07-AMBR-0.2","Y","07-AMBER-0.2-07122021-W","R2107012","turbidity",2021-07-12 12:15:00,"TURB","T",26.3,"ntu","E180.1",0.06,"ntu",1,"","A","",2022-02-17
"OTISCO","07-AMBR-0.2","Y","07-AMBER-0.2-07122021-W","R2107012","iron",2021-07-12 12:15:00,"7439-89-6","T",906,"ug/l","E200.7",20,"ug/l",100,"","A","",2022-02-17
"OTISCO","07-AMBR-0.2","Y","07-AMBER-0.2-07122021-W","R2107012","hardness (as caco3)",2021-07-12 12:15:00,"HARD","T",239,"mg/l","SM2340B",NA,"mg/l",6.62,"","A","",2022-02-17
"OTISCO","07-AMBR-0.2","Y","07-AMBER-0.2-07122021-W","R2107012","aluminum",2021-07-12 12:15:00,"7429-90-5","T",462,"ug/l","E200.8",76,"ug/l",100,"","A","",2022-02-17
"OTISCO","07-AMBR-0.2","Y","07-AMBER-0.2-07122021-W","R2107012","nitrogen, ammonia (as n)",2021-07-12 12:15:00,"7664-41-7","T",0.014,"mg/l","E350.1",0.003,"mg/l",0.01,"","R","Equipment Blank error",2022-02-17
"OTISCO","07-AMBR-0.2","Y","07-AMBER-0.2-07122021-W","R2107012","copper",2021-07-12 12:15:00,"7440-50-8","T",2.8,"ug/l","E200.8",0.66,"ug/l",1,"","A","",2022-02-17
