"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","lab_anl_method_name","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"WALLKILL","13-WALK-19.0","N","13-WALK-19.0-06302021-W","R2106587","chloride (as cl)",2021-06-30 09:00:00,"16887-00-6","T",95,"mg/l","E300.0",0.5,"mg/l",2,"","A","",2022-02-17
"WALLKILL","13-WALK-19.0","N","13-WALK-19.0-06302021-W","R2106587","copper",2021-06-30 09:00:00,"7440-50-8","T",3.4,"ug/l","E200.8",0.66,"ug/l",1,"","A","",2022-02-17
"WALLKILL","13-WALK-19.0","N","13-WALK-19.0-06302021-W","R2106587","hardness (as caco3)",2021-06-30 09:00:00,"HARD","T",185,"mg/l","SM2340B",NA,"mg/l",6.62,"","A","",2022-02-17
"WALLKILL","13-WALK-19.0","N","13-WALK-19.0-06302021-W","R2106587","iron",2021-06-30 09:00:00,"7439-89-6","T",248,"ug/l","E200.7",20,"ug/l",100,"","A","",2022-02-17
"WALLKILL","13-WALK-19.0","N","13-WALK-19.0-06302021-W","R2106587","lead",2021-06-30 09:00:00,"7439-92-1","T",0.42,"ug/l","E200.8",0.19,"ug/l",1,"J","J","estimated value due to lab error",2022-02-17
"WALLKILL","13-WALK-19.0","N","13-WALK-19.0-06302021-W","R2106587","magnesium",2021-06-30 09:00:00,"7439-95-4","T",14900,"ug/l","E200.7",68,"ug/l",1000,"","A","",2022-02-17
"WALLKILL","13-WALK-19.0","N","13-WALK-19.0-06302021-W","R2106587","nickel",2021-06-30 09:00:00,"7440-02-0","T",1.6,"ug/l","E200.8",0.46,"ug/l",1,"","A","",2022-02-17
"WALLKILL","13-WALK-19.0","N","13-WALK-19.0-06302021-W","R2106587","nitrate+nitrite as nitrogen",2021-06-30 09:00:00,"NO3NO2N","T",0.911,"mg/l","E353.2",0.0015,"mg/l",0.002,"","A","",2022-02-17
"WALLKILL","13-WALK-19.0","N","13-WALK-19.0-06302021-W","R2106587","nitrogen",2021-06-30 09:00:00,"7727-37-9","T",1.53,"mg/l","Calculation",NA,"mg/l",0.1,"","A","",2022-02-17
"WALLKILL","13-WALK-19.0","N","13-WALK-19.0-06302021-W","R2106587","nitrogen, ammonia (as n)",2021-06-30 09:00:00,"7664-41-7","T",0.044,"mg/l","E350.1",0.003,"mg/l",0.01,"","A","",2022-02-17
