"sys_sample_code","lab_anl_method_name","analysis_date","fraction","column_number","test_type","lab_matrix_code","analysis_location","basis","container_id","dilution_factor","prep_method","prep_date","leachate_method","leachate_date","lab_name_code","qc_level","lab_sample_id","percent_moisture","subsample_amount","subsample_amount_unit","analyst_name","instrument_id","comment","preservative","final_volume","final_volume_unit","cas_rn","chemical_name","result_value","result_error_delta","result_type_code","reportable_result","detect_flag","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","validated_yn","method_detection_limit","reporting_detection_limit","quantitation_limit","result_unit","detection_limit_unit","tic_retention_time","minimum_detectable_conc","counting_error","uncertainty","critical_value","validation_level","result_comment","qc_original_conc","qc_spike_added","qc_spike_measured","qc_spike_recovery","qc_dup_original_conc","qc_dup_spike_added","qc_dup_spike_measured","qc_dup_spike_recovery","qc_rpd","qc_spike_lcl","qc_spike_ucl","qc_rpd_cl","qc_spike_status","qc_dup_spike_status","qc_rpd_status","lab_sdg"
"730416-MB1","SM 2320 B","07/08/2021 13:14:00","T",NA,"initial","WQ","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R2106663-MB1",NA,0,"mL",NA,NA,NA,NA,NA,"","ALK","ALKALINITY, TOTAL (AS CaCO3)",NA,NA,"TRG","Yes","N","U",NA,"U",NA,1.8,1.8,2,"mg/l","mg/l",NA,1.8,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R2106663"
"730857-MB1","E350.1","07/12/2021 21:22:00","T",NA,"initial","WQ","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R2106663-MB1",NA,10,"mL",NA,NA,NA,NA,10,"mL","7664-41-7","Nitrogen, ammonia (As N)",NA,NA,"TRG","Yes","N","U",NA,"U",NA,0.003,0.003,0.01,"mg/l","mg/l",NA,0.003,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R2106663"
"730766-MB1","E300.0","07/09/2021 15:37:00","T",NA,"initial","WQ","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R2106663-MB1",NA,10,"mL",NA,NA,NA,NA,10,"mL","16887-00-6","CHLORIDE (AS CL)",NA,NA,"TRG","Yes","N","U",NA,"U",NA,0.05,0.05,0.2,"mg/l","mg/l",NA,0.05,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R2106663"
"730394-MB1","E353.2","07/08/2021 17:42:00","T",NA,"initial","WQ","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R2106663-MB1",NA,10,"mL",NA,NA,NA,NA,10,"mL","NO3NO2N","Nitrate+Nitrite as Nitrogen",NA,NA,"TRG","Yes","N","U",NA,"U",NA,0.0015,0.0015,0.002,"mg/l","mg/l",NA,0.0015,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R2106663"
"730311-MB1","E353.2","07/02/2021 20:06:00","T",NA,"initial","WQ","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R2106663-MB1",NA,10,"mL",NA,NA,NA,NA,10,"mL","14797-65-0","NITROGEN, NITRITE",NA,NA,"TRG","Yes","N","U",NA,"U",NA,0.007,0.007,0.01,"mg/l","mg/l",NA,0.007,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R2106663"
"383250-MB1","E351.2","07/16/2021 13:14:00","T",NA,"initial","WQ","LB",NA,NA,1,"METHOD","07/15/2021 13:36:00",NA,NA,"ALSRNY","quant","R2106663-MB1",NA,20,"mL",NA,NA,NA,NA,20,"mL","KN","NITROGEN, KJELDAHL, TOTAL",NA,NA,"TRG","Yes","N","U",NA,"U",NA,0.1,0.1,0.1,"mg/l","mg/l",NA,0.1,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R2106663"
"383414-MB1","E365.1","07/19/2021 21:28:00","T",NA,"initial","WQ","LB",NA,NA,1,"METHOD","07/17/2021 15:16:00",NA,NA,"ALSRNY","quant","R2106663-MB1",NA,20,"mL",NA,NA,NA,NA,20,"mL","7723-14-0","PHOSPHORUS, TOTAL (AS P)",NA,NA,"TRG","Yes","N","U",NA,"U",NA,0.0036,0.0036,0.005,"mg/l","mg/l",NA,0.0036,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R2106663"
"729959-MB1","E180.1","07/02/2021 14:15:00","T",NA,"initial","WQ","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R2106663-MB1",NA,NA,"",NA,NA,NA,NA,NA,"","TURB","TURBIDITY",NA,NA,"TRG","Yes","N","U",NA,"U",NA,0.06,0.06,1,"ntu","ntu",NA,0.06,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R2106663"
"730769-MB1","E300.0","07/09/2021 23:23:00","T",NA,"initial","WQ","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R2106663-MB2",NA,10,"mL",NA,NA,NA,NA,10,"mL","16887-00-6","CHLORIDE (AS CL)",NA,NA,"TRG","Yes","N","U",NA,"U",NA,0.05,0.05,0.2,"mg/l","mg/l",NA,0.05,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R2106663"
"730395-MB2","E353.2","07/08/2021 18:15:00","T",NA,"initial","WQ","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R2106663-MB2",NA,10,"mL",NA,NA,NA,NA,10,"mL","NO3NO2N","Nitrate+Nitrite as Nitrogen",NA,NA,"TRG","Yes","N","U",NA,"U",NA,0.0015,0.0015,0.002,"mg/l","mg/l",NA,0.0015,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R2106663"
"730416-LCS1","SM 2320 B","07/08/2021 13:23:00","T",NA,"initial","WQ","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R2106663-LCS1",NA,0,"mL",NA,NA,NA,NA,NA,"","ALK","ALKALINITY, TOTAL (AS CaCO3)",18.3,NA,"SC","Yes","Y","",NA,"",NA,1.8,NA,2,"mg/l","mg/l",NA,1.8,NA,NA,NA,NA,"",NA,20,18.3,92,NA,NA,NA,NA,"",70,130,NA,NA,NA,NA,"R2106663"
"730857-LCS1","E350.1","07/12/2021 21:23:00","T",NA,"initial","WQ","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R2106663-LCS1",NA,10,"mL",NA,NA,NA,NA,10,"mL","7664-41-7","Nitrogen, ammonia (As N)",0.253,NA,"SC","Yes","Y","",NA,"",NA,0.003,NA,0.01,"mg/l","mg/l",NA,0.003,NA,NA,NA,NA,"",NA,0.25,0.253,101,NA,NA,NA,NA,"",70,130,NA,NA,NA,NA,"R2106663"
