"CHEM_HISTORY_BATCH_ID","CHEM_HISTORY_SAMPLE_ID","CHB_SYS_SAMPLE_CDE","CHB_LAB_ANAL_METHOD_NAME","CHB_ANALYSIS_DATE","CHB_FRACTION","CHB_TEST_TYPE","CHB_TEST_BATCH_TYPE","CHB_TEST_BATCH_ID","CREATE_DATE","END_DATE","UPDATE_DATE","UPDATED_BY_GUID"
"","","13ROND-T6-1.9 DUP_070517_WS","E353.2",2017-07-06 16:29:00,"T","initial","Analysis","552793","","","",""
"","","13ROND-T6-1.9 DUP_070517_WS","SM 4500-H+B",2017-07-07 18:57:00,"T","initial","Analysis","552764","","","",""
"","","13ROND-T6-1.9 DUP_070517_WS","E365.1",2017-07-13 13:26:00,"T","initial","Prep","292371","","","",""
"","","13ROND-T6-1.9 DUP_070517_WS","E180.1",2017-07-06 15:00:00,"T","initial","Analysis","552759","","","",""
"","","13KLEI-0.1_070517_WS","SM 2320 B",2017-07-10 22:55:00,"T","initial","Analysis","552987","","","",""
"","","13KLEI-0.1_070517_WS","D6919-09",2017-07-07 20:40:00,"T","initial","Analysis","552813","","","",""
"","","13KLEI-0.1_070517_WS","E300.0",2017-07-07 23:30:00,"T","initial","Analysis","552827","","","",""
"","","13KLEI-0.1_070517_WS","E120.1",2017-07-07 18:57:00,"T","initial","Analysis","552770","","","",""
"","","13KLEI-0.1_070517_WS","SM2340B",2017-07-11 12:59:00,"T","initial","Analysis","6-Jul-11","","","",""
"","","13KLEI-0.1_070517_WS","Calculation",2017-07-06 16:30:00,"T","initial","Analysis","552793","","","",""
"","","13KLEI-0.1_070517_WS","E353.2",2017-07-08 12:54:00,"T","initial","Analysis","552790","","","",""
"","","13KLEI-0.1_070517_WS","E353.2",2017-07-06 16:30:00,"T","initial","Analysis","552793","","","",""
"","","13KLEI-0.1_070517_WS","SM 4500-H+B",2017-07-07 18:57:00,"T","initial","Analysis","552764","","","",""
"","","13KLEI-0.1_070517_WS","E365.1",2017-07-13 13:27:00,"T","initial","Prep","292371","","","",""
"","","13KLEI-0.1_070517_WS","E180.1",2017-07-06 15:00:00,"T","initial","Analysis","552759","","","",""
"","","13WALK-T13-1.3_070517_WS","SM 2320 B",2017-07-10 23:00:00,"T","initial","Analysis","552987","","","",""
