"sys_sample_code","lab_anl_method_name","analysis_date","fraction","column_number","test_type","test_batch_type","test_batch_id"
"07-OW4-3.0-03122018-WS","D6919-09","03/22/2018 22:28:00","T",NA,"initial","Analysis","584743"
"07-OW4-3.0-03122018-WS","Calculation","03/14/2018 14:51:00","T",NA,"initial","Analysis","584493"
"07-OW4-3.0-03122018-WS","E353.2","03/14/2018 17:11:00","T",NA,"initial","Analysis","583652"
"07-OW4-3.0-03122018-WS","E353.2","03/14/2018 14:51:00","T",NA,"initial","Analysis","584493"
"07-OW4-3.0-03122018-WS","E351.2","03/27/2018 11:15:00","T",NA,"initial","Prep","310560"
"07-OW4-3.0-03122018-WS","E365.1","03/21/2018 11:43:00","T",NA,"initial","Prep","310238"
"07-OW4-3.0-03122018-WS","SM2540D","03/19/2018 16:45:00","T",NA,"initial","Analysis","584074"
"07-OW4-3.0-03122018-WS","SM2540E","03/19/2018 19:45:00","T",NA,"initial","Analysis","584075"
"07-OW4-3.0-03122018-WS","E180.1","03/13/2018 11:45:00","T",NA,"initial","Analysis","583962"
"07-OW4-3.0-03122018-WS","SM5310C","03/22/2018 15:04:00","D",NA,"initial","Analysis","584856"
"07-OW4-3.0-03122018-WS","E365.1","03/13/2018 16:48:00","D",NA,"initial","Analysis","584608"
"07-OW4-3.0-03122018-WS-MD","D6919-09","03/23/2018 00:28:00","T",NA,"initial","Analysis","584743"
"07-OW4-3.0-03122018-WS-MD","Calculation","03/14/2018 14:52:00","T",NA,"initial","Analysis","584493"
"07-OW4-3.0-03122018-WS-MD","E353.2","03/14/2018 17:18:00","T",NA,"initial","Analysis","583652"
"07-OW4-3.0-03122018-WS-MD","E353.2","03/14/2018 14:52:00","T",NA,"initial","Analysis","584493"
"07-OW4-3.0-03122018-WS-MD","E351.2","03/27/2018 11:17:00","T",NA,"initial","Prep","310560"
"07-OW4-3.0-03122018-WS-MD","E365.1","03/21/2018 11:46:00","T",NA,"initial","Prep","310238"
"07-OW4-3.0-03122018-WS-MD","SM2540D","03/19/2018 16:45:00","T",NA,"initial","Analysis","584074"
"07-OW4-3.0-03122018-WS-MD","SM2540E","03/19/2018 19:45:00","T",NA,"initial","Analysis","584075"
"07-OW4-3.0-03122018-WS-MD","E180.1","03/13/2018 11:45:00","T",NA,"initial","Analysis","583962"
"07-OW4-3.0-03122018-WS-MD","SM5310C","03/22/2018 16:07:00","D",NA,"initial","Analysis","584856"
"07-OW4-3.0-03122018-WS-MD","E365.1","03/13/2018 16:49:00","D",NA,"initial","Analysis","584608"
"07-OW4-3.0-03122018-WS-FB","D6919-09","03/23/2018 01:29:00","T",NA,"initial","Analysis","584743"
"07-OW4-3.0-03122018-WS-FB","Calculation","03/14/2018 14:53:00","T",NA,"initial","Analysis","584493"
"07-OW4-3.0-03122018-WS-FB","E353.2","03/14/2018 16:33:00","T",NA,"initial","Analysis","583650"
"07-OW4-3.0-03122018-WS-FB","E353.2","03/14/2018 14:53:00","T",NA,"initial","Analysis","584493"
"07-OW4-3.0-03122018-WS-FB","E351.2","03/27/2018 11:17:00","T",NA,"initial","Prep","310560"
"07-OW4-3.0-03122018-WS-FB","E365.1","03/21/2018 11:47:00","T",NA,"initial","Prep","310238"
"07-OW4-3.0-03122018-WS-FB","SM2540D","03/19/2018 16:45:00","T",NA,"initial","Analysis","584074"
"07-OW4-3.0-03122018-WS-FB","SM2540E","03/19/2018 19:45:00","T",NA,"initial","Analysis","584075"
"07-OW4-3.0-03122018-WS-FB","E180.1","03/13/2018 11:45:00","T",NA,"initial","Analysis","583962"
"07-OW4-3.0-03122018-WS-FB","SM5310C","03/22/2018 16:28:00","D",NA,"initial","Analysis","584856"
"07-OW4-3.0-03122018-WS-FB","E365.1","03/13/2018 16:49:00","D",NA,"initial","Analysis","584608"
"07-OW4-3.0-03122018-WS-EB","D6919-09","03/23/2018 01:44:00","T",NA,"initial","Analysis","584743"
"07-OW4-3.0-03122018-WS-EB","Calculation","03/14/2018 14:53:00","T",NA,"initial","Analysis","584493"
"07-OW4-3.0-03122018-WS-EB","E353.2","03/14/2018 16:34:00","T",NA,"initial","Analysis","583650"
"07-OW4-3.0-03122018-WS-EB","E353.2","03/14/2018 14:53:00","T",NA,"initial","Analysis","584493"
"07-OW4-3.0-03122018-WS-EB","E351.2","03/27/2018 11:18:00","T",NA,"initial","Prep","310560"
"07-OW4-3.0-03122018-WS-EB","E365.1","03/21/2018 11:49:00","T",NA,"initial","Prep","310238"
"07-OW4-3.0-03122018-WS-EB","SM2540D","03/19/2018 16:45:00","T",NA,"initial","Analysis","584074"
"07-OW4-3.0-03122018-WS-EB","SM2540E","03/19/2018 19:45:00","T",NA,"initial","Analysis","584075"
"07-OW4-3.0-03122018-WS-EB","E180.1","03/13/2018 11:45:00","T",NA,"initial","Analysis","583962"
"07-OW4-3.0-03122018-WS-EB","SM5310C","03/22/2018 16:49:00","D",NA,"initial","Analysis","584856"
"07-OW4-3.0-03122018-WS-EB","E365.1","03/13/2018 16:50:00","D",NA,"initial","Analysis","584608"
"07-DUCH-0.3-03122018-WS","D6919-09","03/23/2018 19:11:00","T",NA,"initial","Analysis","584834"
"07-DUCH-0.3-03122018-WS","Calculation","03/14/2018 14:54:00","T",NA,"initial","Analysis","584493"
"07-DUCH-0.3-03122018-WS","E353.2","03/14/2018 16:36:00","T",NA,"initial","Analysis","583650"
"07-DUCH-0.3-03122018-WS","E353.2","03/14/2018 14:54:00","T",NA,"initial","Analysis","584493"
"07-DUCH-0.3-03122018-WS","E351.2","03/27/2018 11:19:00","T",NA,"initial","Prep","310560"
"07-DUCH-0.3-03122018-WS","E365.1","03/21/2018 11:52:00","T",NA,"initial","Prep","310238"
"07-DUCH-0.3-03122018-WS","SM2540D","03/19/2018 16:45:00","T",NA,"initial","Analysis","584074"
"07-DUCH-0.3-03122018-WS","SM2540E","03/19/2018 19:45:00","T",NA,"initial","Analysis","584075"
"07-DUCH-0.3-03122018-WS","E180.1","03/13/2018 11:45:00","T",NA,"initial","Analysis","583962"
"07-DUCH-0.3-03122018-WS","SM5310C","03/22/2018 17:10:00","D",NA,"initial","Analysis","584856"
"07-DUCH-0.3-03122018-WS","E365.1","03/13/2018 16:50:00","D",NA,"initial","Analysis","584608"
"07-SCKR-0.1-03122018-WS","D6919-09","03/23/2018 19:25:00","T",NA,"initial","Analysis","584834"
"07-SCKR-0.1-03122018-WS","Calculation","03/14/2018 14:54:00","T",NA,"initial","Analysis","584493"
"07-SCKR-0.1-03122018-WS","E353.2","03/14/2018 16:37:00","T",NA,"initial","Analysis","583650"
"07-SCKR-0.1-03122018-WS","E353.2","03/14/2018 14:54:00","T",NA,"initial","Analysis","584493"
"07-SCKR-0.1-03122018-WS","E351.2","03/27/2018 11:21:00","T",NA,"initial","Prep","310560"
"07-SCKR-0.1-03122018-WS","E365.1","03/21/2018 11:53:00","T",NA,"initial","Prep","310238"
"07-SCKR-0.1-03122018-WS","SM2540D","03/19/2018 16:45:00","T",NA,"initial","Analysis","584074"
"07-SCKR-0.1-03122018-WS","SM2540E","03/19/2018 19:45:00","T",NA,"initial","Analysis","584075"
"07-SCKR-0.1-03122018-WS","E180.1","03/13/2018 11:45:00","T",NA,"initial","Analysis","583962"
"07-SCKR-0.1-03122018-WS","SM5310C","03/22/2018 17:31:00","D",NA,"initial","Analysis","584856"
"07-SCKR-0.1-03122018-WS","E365.1","03/13/2018 16:51:00","D",NA,"initial","Analysis","584608"
"07-VENE-0.4-03122018-WS","D6919-09","03/23/2018 19:40:00","T",NA,"initial","Analysis","584834"
"07-VENE-0.4-03122018-WS","Calculation","03/14/2018 14:54:00","T",NA,"initial","Analysis","584493"
"07-VENE-0.4-03122018-WS","E353.2","03/14/2018 16:38:00","T",NA,"initial","Analysis","583650"
"07-VENE-0.4-03122018-WS","E353.2","03/14/2018 14:54:00","T",NA,"initial","Analysis","584493"
"07-VENE-0.4-03122018-WS","E351.2","03/27/2018 11:22:00","T",NA,"initial","Prep","310560"
"07-VENE-0.4-03122018-WS","E365.1","03/21/2018 11:54:00","T",NA,"initial","Prep","310238"
"07-VENE-0.4-03122018-WS","SM2540D","03/19/2018 16:45:00","T",NA,"initial","Analysis","584074"
"07-VENE-0.4-03122018-WS","SM2540E","03/19/2018 19:45:00","T",NA,"initial","Analysis","584075"
"07-VENE-0.4-03122018-WS","E180.1","03/13/2018 11:45:00","T",NA,"initial","Analysis","583962"
"07-VENE-0.4-03122018-WS","SM5310C","03/22/2018 17:52:00","D",NA,"initial","Analysis","584856"
"07-VENE-0.4-03122018-WS","E365.1","03/13/2018 16:51:00","D",NA,"initial","Analysis","584608"
"584856-MB1","SM5310C","03/22/2018 14:23:00","D",NA,"initial","Analysis","584856"
"584608-MB1","E365.1","03/13/2018 16:47:00","D",NA,"initial","Analysis","584608"
"584743-MB1","D6919-09","03/22/2018 18:12:00","T",NA,"initial","Analysis","584743"
"583650-MB1","E353.2","03/14/2018 16:08:00","T",NA,"initial","Analysis","583650"
"584493-MB1","E353.2","03/14/2018 14:50:00","T",NA,"initial","Analysis","584493"
"310560-MB1","E351.2","03/27/2018 11:13:00","T",NA,"initial","Prep","310560"
"310238-MB1","E365.1","03/21/2018 11:25:00","T",NA,"initial","Prep","310238"
"584074-MB1","SM2540D","03/19/2018 16:45:00","T",NA,"initial","Analysis","584074"
"584075-MB1","SM2540E","03/19/2018 19:45:00","T",NA,"initial","Analysis","584075"
"583962-MB1","E180.1","03/13/2018 11:45:00","T",NA,"initial","Analysis","583962"
"584834-MB2","D6919-09","03/23/2018 14:37:00","T",NA,"initial","Analysis","584834"
"583652-MB2","E353.2","03/14/2018 16:41:00","T",NA,"initial","Analysis","583652"
"584856-LCS1","SM5310C","03/22/2018 14:44:00","D",NA,"initial","Analysis","584856"
"584608-LCS1","E365.1","03/13/2018 16:48:00","D",NA,"initial","Analysis","584608"
"584743-LCS1","D6919-09","03/22/2018 20:13:00","T",NA,"initial","Analysis","584743"
"583650-LCS1","E353.2","03/14/2018 16:15:00","T",NA,"initial","Analysis","583650"
"584493-LCS1","E353.2","03/14/2018 14:51:00","T",NA,"initial","Analysis","584493"
"310560-LCS1","E351.2","03/27/2018 11:13:00","T",NA,"initial","Prep","310560"
"310238-LCS1","E365.1","03/21/2018 11:26:00","T",NA,"initial","Prep","310238"
"584074-LCS1","SM2540D","03/19/2018 16:45:00","T",NA,"initial","Analysis","584074"
"584075-LCS1","SM2540E","03/19/2018 19:45:00","T",NA,"initial","Analysis","584075"
"584834-LCS2","D6919-09","03/23/2018 14:51:00","T",NA,"initial","Analysis","584834"
"583652-LCS2","E353.2","03/14/2018 16:55:00","T",NA,"initial","Analysis","583652"
"07-OW4-3.0-03122018-WSDUP","SM2540D","03/19/2018 16:45:00","T",NA,"initial","Analysis","584074"
"07-OW4-3.0-03122018-WSDUP","SM2540E","03/19/2018 19:45:00","T",NA,"initial","Analysis","584075"
"07-OW4-3.0-03122018-WSDUP","E180.1","03/13/2018 11:45:00","T",NA,"initial","Analysis","583962"
"07-OW4-3.0-03122018-WS-MDDUP","E180.1","03/13/2018 11:45:00","T",NA,"initial","Analysis","583962"
"07-OW4-3.0-03122018-WSMS","D6919-09","03/22/2018 22:43:00","T",NA,"initial","Analysis","584743"
"07-OW4-3.0-03122018-WSMS","E353.2","03/14/2018 17:15:00","T",NA,"initial","Analysis","583652"
"07-OW4-3.0-03122018-WSMS","E353.2","03/14/2018 14:52:00","T",NA,"initial","Analysis","584493"
"07-OW4-3.0-03122018-WSMS","E351.2","03/27/2018 11:15:00","T",NA,"initial","Prep","310560"
"07-OW4-3.0-03122018-WSMS","E365.1","03/21/2018 11:44:00","T",NA,"initial","Prep","310238"
"07-OW4-3.0-03122018-WSMS","SM5310C","03/22/2018 15:25:00","D",NA,"initial","Analysis","584856"
"07-OW4-3.0-03122018-WSMS","E365.1","03/13/2018 16:48:00","D",NA,"initial","Analysis","584608"
"07-OW4-3.0-03122018-WS-MDMS","E353.2","03/14/2018 17:19:00","T",NA,"initial","Analysis","583652"
"07-OW4-3.0-03122018-WSMSD","D6919-09","03/22/2018 22:58:00","T",NA,"initial","Analysis","584743"
"07-OW4-3.0-03122018-WSMSD","E353.2","03/14/2018 17:17:00","T",NA,"initial","Analysis","583652"
"07-OW4-3.0-03122018-WSMSD","E353.2","03/14/2018 14:52:00","T",NA,"initial","Analysis","584493"
"07-OW4-3.0-03122018-WSMSD","E351.2","03/27/2018 11:16:00","T",NA,"initial","Prep","310560"
"07-OW4-3.0-03122018-WSMSD","E365.1","03/21/2018 11:45:00","T",NA,"initial","Prep","310238"
"07-OW4-3.0-03122018-WSMSD","SM5310C","03/22/2018 15:46:00","D",NA,"initial","Analysis","584856"
"07-OW4-3.0-03122018-WSMSD","E365.1","03/13/2018 16:49:00","D",NA,"initial","Analysis","584608"
"07-OW4-3.0-03122018-WS-MDMSD","E353.2","03/14/2018 17:21:00","T",NA,"initial","Analysis","583652"
"07-VENE-0.4-03202018-WS","D6919-09","03/27/2018 14:34:00","T",NA,"initial","Analysis","585349"
"07-VENE-0.4-03202018-WS","Calculation","03/21/2018 18:42:00","T",NA,"initial","Analysis","584767"
"07-VENE-0.4-03202018-WS","E353.2","03/27/2018 10:18:00","T",NA,"initial","Analysis","585013"
"07-VENE-0.4-03202018-WS","E353.2","03/21/2018 18:42:00","T",NA,"initial","Analysis","584767"
"07-VENE-0.4-03202018-WS","E351.2","03/27/2018 11:31:00","T",NA,"initial","Prep","310560"
"07-VENE-0.4-03202018-WS","E365.1","03/27/2018 18:18:00","T",NA,"initial","Prep","310564"
"07-VENE-0.4-03202018-WS","SM2540D","03/26/2018 16:30:00","T",NA,"initial","Analysis","584972"
"07-VENE-0.4-03202018-WS","SM2540E","03/23/2018 16:45:00","T",NA,"initial","Analysis","584727"
"07-VENE-0.4-03202018-WS","E180.1","03/21/2018 17:20:00","T",NA,"initial","Analysis","584847"
"07-VENE-0.4-03202018-WS","SM5310C","03/26/2018 21:27:00","D",NA,"initial","Analysis","585042"
"07-VENE-0.4-03202018-WS","E365.1","03/21/2018 16:37:00","D",NA,"initial","Analysis","584769"
"07-SCKR-0.1-03202018-WS","D6919-09","03/27/2018 22:05:00","T",NA,"initial","Analysis","585351"
"07-SCKR-0.1-03202018-WS","Calculation","03/21/2018 18:44:00","T",NA,"initial","Analysis","584767"
