"sys_sample_code","lab_anl_method_name","analysis_date","fraction","column_number","test_type","test_batch_type","test_batch_id"
"12-SAUQ-1.7-05072019-W","D6919-09","05/13/2019 03:46:00","T",NA,"initial","Analysis","635549"
"12-SAUQ-1.7-05072019-W","SM10200H","05/14/2019 14:30:00","T",NA,"initial","Prep","336376"
"12-SAUQ-1.7-05072019-W","Calculation","05/08/2019 23:35:00","T",NA,"initial","Analysis","635131"
"12-SAUQ-1.7-05072019-W","E353.2","05/09/2019 19:56:00","T",NA,"initial","Analysis","635003"
"12-SAUQ-1.7-05072019-W","E353.2","05/08/2019 23:35:00","T",NA,"initial","Analysis","635131"
"12-SAUQ-1.7-05072019-W","Calculation","05/16/2019 11:08:00","T",NA,"initial","Analysis","635758"
"12-SAUQ-1.7-05072019-W","E351.2","05/16/2019 11:08:00","T",NA,"initial","Prep","336531"
"12-SAUQ-1.7-05072019-W","E365.1","05/21/2019 16:07:00","T",NA,"initial","Prep","337044"
"12-SAUQ-1.7-05072019-W","E365.1","05/08/2019 20:06:00","D",NA,"initial","Analysis","635130"
"12-CANW-72.3-05072019-W EB","D6919-09","05/13/2019 04:06:00","T",NA,"initial","Analysis","635549"
"12-CANW-72.3-05072019-W EB","SM10200H","05/14/2019 14:30:00","T",NA,"initial","Prep","336376"
"12-CANW-72.3-05072019-W EB","Calculation","05/08/2019 23:35:00","T",NA,"initial","Analysis","635131"
"12-CANW-72.3-05072019-W EB","E353.2","05/09/2019 19:58:00","T",NA,"initial","Analysis","635003"
"12-CANW-72.3-05072019-W EB","E353.2","05/08/2019 23:35:00","T",NA,"initial","Analysis","635131"
"12-CANW-72.3-05072019-W EB","Calculation","05/16/2019 11:08:00","T",NA,"initial","Analysis","635758"
"12-CANW-72.3-05072019-W EB","E351.2","05/16/2019 11:08:00","T",NA,"initial","Prep","336531"
"12-CANW-72.3-05072019-W EB","E365.1","05/21/2019 16:08:00","T",NA,"initial","Prep","337044"
"12-CANW-72.3-05072019-W EB","E365.1","05/08/2019 20:07:00","D",NA,"initial","Analysis","635130"
"12-CANW-72.3-05072019-W DUP","D6919-09","05/13/2019 04:26:00","T",NA,"initial","Analysis","635549"
"12-CANW-72.3-05072019-W DUP","SM10200H","05/14/2019 14:30:00","T",NA,"initial","Prep","336376"
"12-CANW-72.3-05072019-W DUP","Calculation","05/08/2019 23:35:00","T",NA,"initial","Analysis","635131"
"12-CANW-72.3-05072019-W DUP","E353.2","05/09/2019 19:59:00","T",NA,"initial","Analysis","635003"
